0|lenght|means|Max_on_one_word|median|median_high|median_low|date_time
0|8351|2.2135073643874983|206|1|1|1|06/10/2021, 21H54
0|8533|2.156568615961561|195|1|1|1|06/10/2021, 23H10
0|8534|2.1278415748769626|169|1.0|1|1|06/11/2021, 00H25
0|8074|2.223061679464949|159|1.0|1|1|06/11/2021, 01H41
0|8264|2.2896902226524687|158|1.0|1|1|06/11/2021, 17H33
0|8412|2.2534474560152162|159|1.0|1|1|06/11/2021, 18H49
0|8026|2.2945427361076502|173|1.0|1|1|06/11/2021, 20H04
0|7654|2.2017245884504835|172|1.0|1|1|06/11/2021, 21H20
0|7571|2.248051776515652|174|1|1|1|06/11/2021, 22H35
0|8058|2.3562918838421445|289|1.0|1|1|06/11/2021, 23H51
0|8866|2.1814798105120685|237|1.0|1|1|06/12/2021, 01H07
0|8575|2.281399416909621|238|1|1|1|06/12/2021, 02H22
0|8168|2.3005631733594516|145|1.0|1|1|06/12/2021, 22H38
0|8683|2.248186110791201|158|1|1|1|06/12/2021, 23H28
0|8958|2.131502567537397|122|1.0|1|1|06/13/2021, 08H27
0|8693|2.1601288392959854|146|1|1|1|06/13/2021, 09H43
0|7986|2.15389431505134|103|1.0|1|1|06/13/2021, 11H45
0|7530|2.0177954847277557|108|1.0|1|1|06/13/2021, 13H01
0|7911|2.2821387940841866|113|1|1|1|06/13/2021, 14H02
0|7207|2.4066879422783405|138|1|1|1|06/13/2021, 15H18
0|6559|2.5084616557402044|160|1|1|1|06/13/2021, 16H33
0|7642|2.388380005234232|173|1.0|1|1|06/13/2021, 17H49
0|8010|2.2749063670411984|138|1.0|1|1|06/13/2021, 19H04
0|8029|2.3339145597210114|151|1|1|1|06/13/2021, 20H20
0|8438|2.2696136525242947|147|1.0|1|1|06/13/2021, 21H36
0|8148|2.2875552282768776|189|1.0|1|1|06/13/2021, 22H51
0|8436|2.2741820768136556|230|1.0|1|1|06/14/2021, 00H07
0|7977|2.2391876645355397|107|1|1|1|06/14/2021, 17H53
0|7934|2.2738845475170155|140|1.0|1|1|06/14/2021, 18H36
